r,l,t
202.0,202,70.303687
248.0,248,70.902843
384.0,384,71.978648
390.0,390,72.596232
500.0,500,73.739037
500.0,500,74.84746
500.0,500,75.979801
500.0,500,77.080445
500.0,500,78.179238
500.0,500,79.310169
500.0,500,80.439161
500.0,500,81.549742
500.0,500,82.654756
500.0,500,83.764295
87.0,87,83.812001
135.0,135,84.314713
412.0,412,84.939398
356.0,356,86.039649
433.0,433,86.700257
500.0,500,87.845264
500.0,500,88.946305
500.0,500,90.106698
500.0,500,91.225204
500.0,500,92.334273
500.0,500,93.467195
500.0,500,94.567568
500.0,500,95.704327
500.0,500,96.819378
500.0,500,97.926455
500.0,500,99.038081
500.0,500,100.179268
500.0,500,101.299644
500.0,500,102.409942
500.0,500,103.554681
500.0,500,104.664426
500.0,500,105.830063
44.0,44,105.851792
54.0,54,105.877655
40.0,40,105.904189
67.0,67,105.937823
