r,l,t
-56.883489,1000,111.045677
7.598559,1000,114.231718
-0.276548,1000,117.943368
-26.021656,224,118.228041
24.250674,203,118.483174
-7.651651,384,119.685396
-24.087719,1000,124.389319
-4.630896,1000,128.4348
-102.794197,387,128.978173
-36.899067,367,129.775084
-87.461609,231,130.095532
-99.272932,1000,133.253707
-123.022582,545,134.610919
-29.028164,1000,137.998355
13.094035,1000,141.761096
45.589467,1000,144.548951
-124.213135,1000,147.579716
22.316638,1000,150.991664
-54.539159,1000,154.362976
-149.803839,664,155.944127
37.669621,1000,159.388745
20.270941,1000,163.012876
-1.431478,1000,166.787394
42.038232,1000,170.148935
37.731428,189,170.373764
20.20579,1000,174.714623
20.232513,1000,177.44659
27.099057,150,177.619407
50.031031,230,177.917745
-142.895429,327,178.564345
-63.462187,240,178.880758
65.009341,1000,182.32935
-169.723193,397,182.884085
47.591227,1000,186.471146
53.088832,1000,190.931674
36.704466,1000,194.230615
94.35298,1000,196.700303
19.386128,1000,200.411839
54.814933,1000,203.032545
-236.040403,596,204.597754
21.224773,1000,207.969044
44.36113,1000,210.888258
-14.207113,1000,214.215527
-123.523083,461,215.563194
34.347074,229,215.894398
63.731273,1000,220.684491
48.039005,1000,224.775499
-11.764448,468,225.918416
46.406714,1000,229.14211
-131.538657,426,229.813375
-22.808798,301,230.274356
120.504287,1000,233.391961
55.36442,1000,237.782046
15.728381,278,238.239943
88.707584,1000,241.469638
8.765757,1000,244.508118
37.630947,1000,248.795446
-69.171085,1000,251.952365
-53.460093,414,252.858606
25.222559,189,253.087342
79.761248,1000,256.297903
-51.389347,491,257.167618
14.269026,300,257.799017
106.011478,1000,260.208273
7.356453,306,260.671982
114.81689,1000,263.957955
-6.91124,285,264.346192
52.496729,1000,267.413092
-37.744433,272,267.978368
-19.30614,420,268.677944
66.217092,1000,272.050772
149.963995,1000,275.778847
29.085314,1000,279.109207
99.834689,1000,281.846491
36.580512,1000,285.58073
88.171122,1000,288.967144
82.747854,1000,291.969765
85.020391,1000,295.401217
64.173903,1000,297.688436
29.978256,251,298.064965
29.165688,316,298.530532
86.539609,1000,301.696759
14.928286,211,301.987356
16.183262,227,302.490896
102.24691,1000,305.014316
110.308272,1000,307.77942
159.563996,1000,310.151995
118.14982,1000,313.159075
-69.797204,290,313.607453
29.381675,263,313.972458
135.533997,1000,317.915662
178.61394,760,319.639593
-22.19789,274,319.990014
108.528745,1000,324.136589
90.494524,1000,326.421955
73.052216,1000,329.267297
111.733734,1000,332.361092
115.184009,1000,334.790287
109.509559,1000,337.884638
132.491688,1000,341.48944
54.706582,1000,345.025452
-59.680941,324,345.5018
129.100175,1000,349.123158
126.921383,1000,351.584385
100.225031,1000,355.203458
81.794177,1000,358.275834
56.994077,1000,361.202474
52.06188,1000,364.933498
86.887085,1000,368.164961
-90.073342,693,369.841232
62.507743,1000,372.857262
86.166297,1000,375.127816
71.17536,1000,378.619951
36.440256,1000,381.532328
-74.259627,410,382.354176
86.899117,1000,385.909701
-58.27088,463,386.86362
66.918154,1000,391.415833
107.526027,810,393.383152
102.869339,1000,396.90792
-40.952555,395,397.833828
-13.701115,1000,400.942241
136.598048,612,402.401767
69.028196,1000,405.347097
103.594215,1000,408.977694
18.443328,351,409.575406
106.885114,1000,412.18157
84.401724,1000,415.917187
58.624366,1000,418.489529
95.15393,1000,423.398849
110.60037,1000,427.119854
102.126953,1000,429.487956
134.722269,1000,432.710336
98.717727,1000,436.308733
-107.305175,767,438.194571
58.610199,1000,442.489783
64.853376,1000,445.490556
78.069235,1000,449.7672
47.124399,1000,454.421751
21.0702,1000,457.521322
75.95469,1000,461.060615
79.737808,1000,464.650785
46.61572,1000,467.432317
10.498496,1000,470.294928
57.878579,1000,473.432592
56.45511,1000,478.837633
82.155818,1000,481.602155
185.668138,970,484.383581
35.060474,1000,487.85339
62.148854,1000,491.824585
60.355936,1000,494.985553
68.679262,1000,498.609761
65.086057,1000,501.942983
106.646046,1000,505.494928
101.267713,1000,507.998467
112.524613,1000,511.856154
71.312509,1000,514.540278
9.826924,457,515.520945
138.146023,608,517.218367
150.589526,1000,519.830168
-34.544445,456,520.749403
97.124646,1000,524.24437
121.27388,1000,526.266307
80.945605,1000,528.700707
135.985889,1000,531.288215
95.935986,1000,535.017834
76.61639,1000,537.886439
96.196555,1000,540.826269
99.029598,1000,543.389156
112.79205,1000,547.659755
141.577146,1000,550.481628
43.847868,1000,552.76986
116.423161,1000,554.940864
121.707723,1000,558.018779
127.521235,1000,560.606892
63.527696,1000,563.47923
128.196854,1000,566.30647
132.252674,1000,569.173271
