r,l,t
221.188666,853,5652.631441
267.087587,275,5677.540104
266.457832,262,5685.785669
228.570845,238,5693.673367
166.465911,546,5702.353996
235.516578,204,5718.341193
259.738061,229,5724.48606
275.386645,476,5731.937425
224.978827,213,5745.917933
-63.944242,239,5752.38104
285.838009,793,5760.754802
248.227497,236,5783.99726
-218.5325,544,5792.166164
-118.155749,746,5811.091162
240.341681,349,5833.237321
223.093139,281,5843.753577
266.607853,280,5852.66905
246.892154,390,5861.57957
239.920548,338,5873.300392
259.139073,257,5883.400414
238.565852,344,5891.464541
244.240558,263,5901.768919
19.580681,125,5909.555504
201.588438,339,5913.825389
290.043835,155,5923.899258
253.473796,447,5929.171132
-122.839762,375,5942.723974
253.96442,338,5954.121407
245.917591,275,5964.263299
-93.893455,476,5972.906259
264.200527,327,5987.260951
112.426447,1000,5998.782651
225.742664,258,6028.139714
293.464011,273,6035.980505
263.329291,257,6044.359325
148.775023,533,6052.835214
282.893823,318,6068.741732
253.631897,210,6078.292739
25.654133,1000,6086.953055
276.831385,226,6116.380706
298.236202,262,6123.318931
216.926759,217,6131.16144
297.104552,257,6137.867593
241.828917,214,6145.643279
220.65792,437,6152.561679
264.074625,264,6165.604789
245.923858,242,6173.601804
266.757926,373,6181.270426
256.046097,283,6192.58136
30.832388,127,6200.922001
266.641124,289,6205.047513
244.292982,309,6213.935417
267.175945,388,6223.539722
266.218901,285,6235.294854
251.833621,229,6243.870769
246.739338,192,6250.760565
238.266663,344,6256.840189
255.306195,333,6267.293799
264.749496,250,6277.369811
224.543849,293,6285.135523
-24.565817,107,6293.776724
269.011183,281,6297.338127
265.901565,239,6305.848722
260.889434,194,6313.113642
271.118855,287,6319.307046
269.722343,374,6328.345024
259.122613,399,6339.855047
251.677886,205,6351.687878
261.411139,208,6357.87136
172.832338,971,6367.063555
-144.687613,733,6397.072438
235.139209,203,6418.622224
233.748861,184,6424.677195
254.027408,351,6430.662414
-22.105878,224,6441.220123
236.610525,430,6448.732438
213.96279,415,6462.041709
183.434567,388,6474.843078
-135.76759,214,6486.395511
221.136304,205,6492.890879
236.911598,248,6499.230815
271.744502,314,6506.931697
282.27618,215,6516.324911
13.502357,143,6522.764512
269.01213,144,6527.075783
260.364568,248,6531.624602
265.068044,178,6539.080934
241.377306,329,6544.593405
257.404059,206,6554.431887
258.368238,257,6560.865
274.040041,287,6568.767818
270.296018,191,6577.360496
248.846115,214,6583.175417
-148.488883,361,6589.991738
272.182774,192,6600.724337
226.914412,309,6606.882181
-70.166177,163,6616.076952
223.051258,414,6621.592337
227.40431,398,6634.417535
207.032681,280,6646.339389
255.470693,231,6654.76649
236.73494,453,6662.329211
-61.209761,235,6675.783577
251.798454,186,6682.831611
242.051668,329,6688.833878
-65.712177,1000,6703.773084
-170.869231,856,6734.507703
240.95857,253,6759.867211
260.715974,707,6768.900406
291.01683,145,6789.624293
168.69778,436,6794.572597
237.069776,204,6807.504883
261.664213,214,6813.752819
254.40997,176,6820.256884
264.449404,209,6825.609081
235.370758,196,6831.935715
259.170496,190,6837.837886
274.109093,197,6843.595361
261.510678,155,6849.515876
321.452271,167,6854.214963
216.143864,306,6859.53948
288.608684,148,6868.616705
319.393699,171,6873.211142
92.758407,1000,6880.644275
244.910653,246,6910.279629
263.431229,208,6917.787171
240.222136,177,6924.072325
54.404045,120,6929.382429
301.948386,289,6933.467625
