r,l,t
68.37501,903,1999.761273
175.44933,478,2002.115836
85.754167,687,2006.368379
-78.194734,327,2007.823663
-148.816008,900,2012.787731
185.348844,423,2014.33031
-68.444774,1000,2021.012594
85.899627,641,2024.908105
74.260843,842,2031.176014
-45.109308,1000,2036.129779
-60.251933,363,2037.677804
-194.983616,458,2039.794322
-55.417953,298,2040.875264
192.351115,616,2044.221058
-106.14582,1000,2051.650097
123.177095,526,2054.547249
-88.982737,1000,2061.753364
-65.31165,1000,2068.727744
2.985488,1000,2074.652636
-161.81779,615,2077.752502
-68.000716,363,2079.492568
-157.808373,491,2081.903034
-64.967143,330,2083.140297
-198.988699,675,2086.248496
-95.220485,324,2087.579025
-145.049509,409,2089.561334
-133.943956,566,2092.443594
-61.299863,253,2093.429702
-14.632932,544,2096.187473
-148.645681,407,2097.997916
-136.165409,725,2102.308493
-146.042887,390,2103.950411
184.073442,632,2107.411304
-56.213146,1000,2113.197097
-169.37675,530,2115.9632
162.929824,471,2118.586095
238.988942,648,2122.083809
-0.470452,370,2123.556572
-92.144214,451,2125.54112
-139.116655,582,2128.78574
5.28465,1000,2135.362194
-205.577992,893,2141.094201
-40.678946,230,2141.952877
-152.509512,765,2147.529457
191.825287,328,2148.908251
-163.234682,718,2153.266158
-51.127877,241,2154.193269
-22.596188,173,2154.829622
260.765681,365,2156.44163
263.94906,376,2157.976417
272.221065,372,2159.576825
183.006214,508,2161.852624
185.648341,214,2162.652203
267.933813,264,2163.716676
291.01795,317,2164.93415
251.347869,417,2166.786658
280.313276,272,2167.902036
189.040633,283,2169.100579
-141.849137,251,2170.023277
198.2586,537,2172.569
286.690801,496,2174.617562
172.328144,394,2176.308657
299.544365,344,2177.732635
290.13541,284,2178.854239
218.209043,379,2180.64197
246.723748,290,2181.854245
286.038098,295,2182.964848
-47.2076,292,2184.043784
206.981469,406,2185.768584
-57.864085,159,2186.32515
244.652194,383,2187.924639
-48.417154,180,2188.530669
298.107383,222,2189.340449
278.650096,199,2190.055203
214.936004,469,2192.224679
172.058902,417,2194.274755
-141.484229,613,2197.066945
121.945821,343,2198.53008
-233.284833,203,2199.280037
-59.565157,111,2199.637383
200.980368,425,2201.419709
251.975614,261,2202.37492
-84.92864,233,2203.215603
-93.060898,389,2204.762481
-138.231146,373,2206.337271
-115.972671,421,2208.26199
-120.967505,401,2209.84103
188.378066,470,2212.10551
-49.337596,203,2212.82563
-83.076962,185,2213.478284
204.750283,315,2214.710726
-83.304939,236,2215.583622
-23.057344,259,2216.563892
120.568056,480,2218.713668
150.614308,300,2219.937562
-135.266923,377,2221.590651
-53.940165,242,2222.490278
-77.508393,250,2223.394409
24.337671,95,2223.715166
-89.824212,369,2225.189132
-32.866615,142,2225.674807
-102.327154,446,2227.876769
184.241462,540,2230.475505
-80.433621,403,2232.228724
115.58763,978,2239.682431
2.165454,216,2240.401305
213.357424,611,2242.918163
-235.106279,919,2248.192891
141.62228,557,2250.98125
214.083739,498,2253.722224
206.631964,696,2257.694057
4.853234,1000,2265.99194
-188.323047,949,2270.966701
-6.988086,1000,2277.963371
-18.72789,1000,2283.276116
-18.958148,1000,2290.618671
0.567806,1000,2298.573642
1.458862,1000,2303.755104
116.15951,787,2308.301448
210.985991,462,2310.223394
78.198347,1000,2316.840801
222.571639,503,2319.178776
-58.012406,276,2320.218463
-78.852044,677,2323.157348
235.182074,600,2326.36153
135.038629,776,2331.931679
-91.211225,243,2332.842835
90.353308,936,2337.953523
-76.409351,303,2339.177798
-101.530666,1000,2345.058684
-159.719933,673,2348.380774
-83.249146,1000,2354.225028
-192.220525,941,2359.079474
-201.390913,707,2363.385585
-158.930683,799,2368.324489
-136.194587,318,2369.670892
-155.204761,383,2371.171058
-174.887392,549,2374.059672
-178.448345,951,2380.191945
-105.33875,207,2380.960787
-153.494216,749,2385.463416
-114.876428,322,2386.846752
-93.281714,343,2388.302569
-68.713875,773,2393.068512
-48.583794,1000,2398.517913
77.248529,1000,2404.574653
-29.47051,1000,2410.252331
-114.0804,1000,2415.179701
-37.871297,1000,2420.825647
174.351085,936,2426.734231
239.866536,749,2432.087804
104.220934,976,2437.693485
-74.23654,1000,2445.282865
-54.666234,1000,2452.79032
-19.328524,1000,2460.757549
-89.789835,543,2463.234601
0.862596,1000,2470.043125
-121.524546,888,2476.319446
160.079241,825,2481.345505
119.633426,799,2486.588656
75.138842,1000,2492.55756
-198.901764,804,2496.79333
149.465684,800,2501.509097
159.592731,649,2505.296981
-86.195613,1000,2512.631692
-84.505657,1000,2518.04511
-19.384927,1000,2525.533984
-69.010491,1000,2534.085981
-219.934728,963,2540.518142
-80.00089,1000,2549.092657
-87.75272,1000,2555.417948
-124.444429,1000,2563.891508
-41.755138,1000,2571.227099
-60.382967,1000,2579.038532
58.937401,955,2585.377266
-103.184693,665,2588.488038
-155.804901,894,2593.853406
-156.164499,735,2597.519577
120.891329,794,2602.524779
-20.832583,1000,2609.8789
-127.162418,616,2612.678096
-94.726699,1000,2617.878819
-141.219506,864,2622.498049
-43.063744,1000,2631.885526
-52.850688,1000,2636.249711
-41.87714,1000,2642.284539
-75.577823,1000,2649.2824
-104.17327,1000,2655.673872
-125.359688,1000,2660.696366
-72.086305,1000,2667.692537
-48.197102,1000,2675.215315
-99.1507,1000,2682.551797
-87.747541,1000,2691.710779
-30.911951,1000,2698.105537
9.119225,1000,2702.837123
-26.018986,1000,2711.844508
3.556134,1000,2720.873662
-16.683819,1000,2728.369006
-73.009218,1000,2733.879029
-76.700312,1000,2740.173129
-80.512524,1000,2745.637111
-19.414517,1000,2751.397826
-39.973866,1000,2758.306356
-23.718307,1000,2764.028286
0.293647,1000,2770.691117
-50.663563,1000,2779.166075
-14.988831,1000,2784.154582
-43.506018,1000,2790.549569
-58.714478,1000,2798.227339
-77.459018,1000,2803.498527
-58.04231,1000,2809.935575
-45.706644,1000,2815.044791
-86.286029,1000,2820.161666
-32.592984,1000,2828.044616
-104.296152,1000,2834.335295
-81.542306,1000,2841.167923
-113.856881,1000,2848.755107
-87.763501,1000,2855.997507
-77.668928,1000,2864.143314
-67.557381,1000,2872.095765
-53.714206,1000,2878.0906
-72.981089,1000,2887.471609
-76.59532,1000,2895.248135
-103.724474,1000,2900.399094
-92.938713,1000,2906.474187
-100.090212,1000,2915.464279
-99.909113,1000,2922.711469
-52.52955,1000,2930.483901
-91.586858,1000,2938.461762
-96.318434,1000,2945.878525
-75.69838,1000,2952.70625
-71.638755,1000,2960.840716
-36.706732,1000,2968.032027
-123.998686,1000,2975.331073
-71.264505,1000,2982.149272
-68.950971,1000,2991.470212
-112.94146,1000,3000.125757
-118.800348,1000,3007.039639
-72.348066,1000,3013.616758
-43.230046,1000,3022.471869
-121.001361,1000,3031.352816
-116.149941,1000,3038.448805
-157.695935,1000,3044.099628
-131.239466,1000,3051.094022
-220.648587,792,3057.144447
-214.56403,633,3060.505824
-129.262461,332,3061.947989
-204.046263,502,3064.291672
-261.364769,860,3070.035729
-201.387302,698,3074.41107
-133.79107,1000,3081.904746
-97.21833,1000,3090.570082
-155.692833,1000,3096.954734
-97.568997,1000,3103.277462
-113.717597,456,3105.608903
-61.990838,1000,3111.70738
-187.369374,766,3116.400523
-61.564041,1000,3122.062868
